"1","Kyiv","Petra Grigorenka Avenue 40"
"2","Kyiv","Bratyslavska street 11"
"3","Kyiv","Stepan Banderi Avenue 11"
"4","Kyiv","Kiltseva road 1B"
"5","Kyiv","Stepan Banderi 36"
"6","Kyiv","Polyarna street 20D"
"7","Kyiv","Krishtaleva street 6"
"8","Kyiv","Berkovetska street 6V"
"9","Brovary","Kyivska street 253"
"10","Bucha","Nove shose 48"
"11","Boyarka","Magistralna street 2"
"12","Boryspil","Gorbatyuka street 2"
"13","Zhytomyr","Kiev highway 4/2"
"14","Cherkasy","30-richchya Peremohy street 29"
"15","Uman","Kyivska street 27"
"16","Vinnitsa","Batozka street 1V"
"17","Zarvantsi","Khmelnytsky highway 1-A"
"18","Kam'yanets-Podilsky","Khmelnytsky shose 11"
"19","Khmelnitsky","Zarychanska street 11/4"
"20","Pervomaisk","Fedor Dostoevsky Street 2-B/2"